ticker,date,period_ending,estimate,reported,surprise,surprise%,
ITOS,2022-11-10,Sep-22,0.07,0.03,-0.04,-57.14,2022-11-10
ITRI,2022-11-03,Sep-22,0.23,0.23,0,0,2022-11-03
ITT,2022-11-03,Sep-22,1.18,1.2,0.02,1.69,2022-11-03
ITW,2022-10-25,Sep-22,2.25,2.35,0.1,4.44,2022-10-25
IVR,2022-11-02,Sep-22,0.96,1.39,0.43,44.79,2022-11-02
IVT,2022-11-01,Sep-22,0.36,0.01,-0.35,-97.22,2022-11-01
IVZ,2022-10-25,Sep-22,0.43,0.34,-0.09,-20.93,2022-10-25
J,2022-11-21,Sep-22,1.78,1.8,0.02,1.12,2022-11-21
JACK,2022-11-22,Sep-22,1.35,1.33,-0.02,-1.48,2022-11-22
JAMF,2022-11-09,Sep-22,0.02,0.04,0.02,100,2022-11-09
JANX,2022-11-10,Sep-22,-0.51,-0.4,0.11,21.57,2022-11-10
JAZZ,2022-11-09,Sep-22,4.72,5.17,0.45,9.53,2022-11-09
JBHT,2022-10-18,Sep-22,2.45,2.57,0.12,4.9,2022-10-18
JBI,2022-11-10,Sep-22,0.17,0.22,0.05,29.41,2022-11-10
JBL,2022-09-27,Aug-22,2.14,2.34,0.2,9.35,2022-09-27
JBLU,2022-10-25,Sep-22,0.24,0.21,-0.03,-12.5,2022-10-25
JBT,2022-10-26,Sep-22,1.22,1.27,0.05,4.1,2022-10-26
JCI,2022-11-03,Sep-22,0.99,0.99,0,0,2022-11-03
JEF,2022-09-28,Aug-22,0.69,1.1,0.41,59.42,2022-09-28
JELD,2022-10-31,Sep-22,0.43,0.71,0.28,65.12,2022-10-31
JHG,2022-10-27,Sep-22,0.5,0.61,0.11,22,2022-10-27
JJSF,2022-11-14,Sep-22,0.89,1.05,0.16,17.98,2022-11-14
JKHY,2022-11-08,Sep-22,1.38,1.46,0.08,5.8,2022-11-08
JLL,2022-11-02,Sep-22,4.52,3.4,-1.12,-24.78,2022-11-02
JNJ,2022-10-18,Sep-22,2.49,2.55,0.06,2.41,2022-10-18
JNPR,2022-10-25,Sep-22,0.5,0.58,0.08,16,2022-10-25
JOBY,2022-11-02,Sep-22,-0.16,-0.16,0,0,2022-11-02
JPM,2022-10-14,Sep-22,2.96,3.12,0.16,5.41,2022-10-14
JRVR,2022-11-01,Sep-22,0.4,0.41,0.01,2.5,2022-11-01
JWN,2022-11-22,Oct-22,0.14,0.2,0.06,42.86,2022-11-22
JXN,2022-11-09,Sep-22,2.75,4.24,1.49,54.18,2022-11-09
K,2022-11-03,Sep-22,0.97,1.01,0.04,4.12,2022-11-03
KAI,2022-11-01,Sep-22,2.1,2.38,0.28,13.33,2022-11-01
KALU,2022-10-19,Sep-22,-0.57,0.16,0.73,128.07,2022-10-19
KALV,2022-12-08,Oct-22,-1.04,-0.9,0.14,13.46,2022-12-08
KAMN,2022-11-01,Sep-22,0.66,0.32,-0.34,-51.52,2022-11-01
KAR,2022-11-01,Sep-22,0.15,0.05,-0.1,-66.67,2022-11-01
KBH,2022-09-21,Aug-22,2.69,2.86,0.17,6.32,2022-09-21
KBR,2022-10-26,Sep-22,0.63,0.65,0.02,3.17,2022-10-26
KDNY,2022-11-10,Sep-22,-0.62,-0.83,-0.21,-33.87,2022-11-10
KDP,2022-10-27,Sep-22,0.46,0.46,0,0,2022-10-27
KELYA,2022-11-10,Sep-22,0.21,0.25,0.04,19.05,2022-11-10
KEX,2022-10-24,Sep-22,0.6,0.65,0.05,8.33,2022-10-24
KEY,2022-10-20,Sep-22,0.59,0.55,-0.04,-6.78,2022-10-20
KEYS,2022-11-17,Oct-22,1.99,2.14,0.15,7.54,2022-11-17
KFRC,2022-10-31,Sep-22,1.07,1.09,0.02,1.87,2022-10-31
KFY,2022-12-08,Oct-22,1.43,1.43,0,0,2022-12-08
KHC,2022-10-26,Sep-22,0.55,0.63,0.08,14.55,2022-10-26
KIDS,2022-10-31,Sep-22,-0.19,-0.05,0.14,73.68,2022-10-31
KIM,2022-10-27,Sep-22,0.39,0.41,0.02,5.13,2022-10-27
KKR,2022-11-01,Sep-22,0.84,0.93,0.09,10.71,2022-11-01
KLAC,2022-10-26,Sep-22,6.22,7.06,0.84,13.5,2022-10-26
KLIC,2022-11-16,Sep-22,0.91,1.19,0.28,30.77,2022-11-16
KMB,2022-10-25,Sep-22,1.48,1.4,-0.08,-5.41,2022-10-25
KMI,2022-10-19,Sep-22,0.29,0.25,-0.04,-13.79,2022-10-19
KMPR,2022-11-02,Sep-22,-0.43,-0.48,-0.05,-11.63,2022-11-02
KMT,2022-10-31,Sep-22,0.37,0.34,-0.03,-8.11,2022-10-31
KMX,2022-09-29,Aug-22,1.4,0.79,-0.61,-43.57,2022-09-29
KN,2022-10-27,Sep-22,0.2,0.25,0.05,25,2022-10-27
KNSA,2022-11-01,Sep-22,0.38,0.67,0.29,76.32,2022-11-01
KNSL,2022-10-27,Sep-22,1.42,1.64,0.22,15.49,2022-10-27
KNTE,2022-11-10,Sep-22,-0.6,-0.7,-0.1,-16.67,2022-11-10
KNX,2022-10-19,Sep-22,1.33,1.27,-0.06,-4.51,2022-10-19
KO,2022-10-25,Sep-22,0.64,0.69,0.05,7.81,2022-10-25
KOD,2022-11-09,Sep-22,-1.82,-1.47,0.35,19.23,2022-11-09
KOP,2022-11-04,Sep-22,1.17,1.19,0.02,1.71,2022-11-04
KOS,2022-11-07,Sep-22,0.19,0.19,0,0,2022-11-07
KPTI,2022-11-03,Sep-22,-0.56,-0.45,0.11,19.64,2022-11-03
KR,2022-12-01,Oct-22,0.82,0.88,0.06,7.32,2022-12-01
KRC,2022-10-25,Sep-22,1.14,1.17,0.03,2.63,2022-10-25
KREF,2022-10-24,Sep-22,0.46,0.5,0.04,8.7,2022-10-24
KRG,2022-11-02,Sep-22,0.45,0.48,0.03,6.67,2022-11-02
KRNY,2022-10-27,Sep-22,0.23,0.25,0.02,8.7,2022-10-27
KROS,2022-11-03,Sep-22,-1.26,-0.92,0.34,26.98,2022-11-03
KRTX,2022-11-03,Sep-22,-1.99,-2.38,-0.39,-19.6,2022-11-03
KRUS,2022-11-10,Aug-22,0.05,0.21,0.16,320,2022-11-10
KRYS,2022-11-07,Sep-22,-1.23,-1.17,0.06,4.88,2022-11-07
KSS,2022-11-17,Oct-22,0.81,0.82,0.01,1.23,2022-11-17
KTB,2022-11-03,Sep-22,0.99,1.11,0.12,12.12,2022-11-03
KTOS,2022-11-03,Sep-22,0.05,0.08,0.03,60,2022-11-03
KURA,2022-11-03,Sep-22,-0.57,-0.53,0.04,7.02,2022-11-03
KW,2022-11-02,Sep-22,0.44,0.5,0.06,13.64,2022-11-02
KWR,2022-11-03,Sep-22,1.43,1.74,0.31,21.68,2022-11-03
KYMR,2022-11-03,Sep-22,-0.7,-0.79,-0.09,-12.86,2022-11-03
KZR,2022-11-10,Sep-22,-0.26,-0.25,0.01,3.85,2022-11-10
LAD,2022-10-19,Sep-22,11.91,11.08,-0.83,-6.97,2022-10-19
LADR,2022-10-27,Sep-22,0.23,0.27,0.04,17.39,2022-10-27
LAMR,2022-11-04,Sep-22,1.89,2.03,0.14,7.41,2022-11-04
LANC,2022-11-03,Sep-22,1.22,1.36,0.14,11.48,2022-11-03
LAND,2022-11-08,Sep-22,0.17,0.21,0.04,23.53,2022-11-08
LASR,2022-11-03,Sep-22,-0.07,-0.11,-0.04,-57.14,2022-11-03
LAUR,2022-11-03,Sep-22,0.19,0.19,0,0,2022-11-03
LAW,2022-11-10,Sep-22,-0.29,-0.24,0.05,17.24,2022-11-10
LAZ,2022-10-27,Sep-22,0.81,1.05,0.24,29.63,2022-10-27
LAZR,2022-11-02,Sep-22,-0.21,-0.18,0.03,14.29,2022-11-02
LBAI,2022-10-27,Sep-22,0.5,0.48,-0.02,-4,2022-10-27
LBRDK,2022-11-04,Sep-22,1.73,2.05,0.32,18.5,2022-11-04
LBRT,2022-10-19,Sep-22,0.63,0.78,0.15,23.81,2022-10-19
LC,2022-10-26,Sep-22,0.35,0.36,0.01,2.86,2022-10-26
LCID,2022-11-08,Sep-22,-0.33,-0.4,-0.07,-21.21,2022-11-08
LCII,2022-11-01,Sep-22,2.43,2.4,-0.03,-1.23,2022-11-01
LDOS,2022-11-01,Sep-22,1.56,1.59,0.03,1.92,2022-11-01
LEA,2022-11-01,Sep-22,2.14,2.33,0.19,8.88,2022-11-01
LECO,2022-10-27,Sep-22,1.96,2.04,0.08,4.08,2022-10-27
LEG,2022-10-31,Sep-22,0.49,0.52,0.03,6.12,2022-10-31
LEN,2022-09-21,Aug-22,4.76,5.18,0.42,8.82,2022-09-21
LESL,2022-11-30,Sep-22,0.32,0.35,0.03,9.38,2022-11-30
LFST,2022-11-08,Sep-22,-0.15,-0.11,0.04,26.67,2022-11-08
LFUS,2022-11-01,Sep-22,3.81,4.28,0.47,12.34,2022-11-01
LGIH,2022-11-01,Sep-22,3.91,3.85,-0.06,-1.53,2022-11-01
LGND,2022-11-07,Sep-22,0.45,0.41,-0.04,-8.89,2022-11-07
LH,2022-10-27,Sep-22,4.71,4.68,-0.03,-0.64,2022-10-27
LHX,2022-10-27,Sep-22,3.44,3.26,-0.18,-5.23,2022-10-27
LICY,2023-01-30,Oct-22,-0.18,-0.19,-0.01,-5.56,2023-01-30
LII,2022-10-27,Sep-22,4.15,4.1,-0.05,-1.2,2022-10-27
LIN,2022-10-27,Sep-22,2.94,3.1,0.16,5.44,2022-10-27
LIND,2022-11-02,Sep-22,-0.29,-0.18,0.11,37.93,2022-11-02
LITE,2022-11-08,Sep-22,1.56,1.69,0.13,8.33,2022-11-08
LIVN,2022-11-02,Sep-22,0.57,0.58,0.01,1.75,2022-11-02
LKFN,2022-10-25,Sep-22,1.02,1.11,0.09,8.82,2022-10-25
LKQ,2022-10-27,Sep-22,0.95,0.97,0.02,2.11,2022-10-27
LLY,2022-11-01,Sep-22,1.97,1.98,0.01,0.51,2022-11-01
LMAT,2022-10-27,Sep-22,0.28,0.25,-0.03,-10.71,2022-10-27
LMND,2022-11-08,Sep-22,-1.36,-1.37,-0.01,-0.74,2022-11-08
LMT,2022-10-18,Sep-22,6.58,6.87,0.29,4.41,2022-10-18
LNC,2022-11-02,Sep-22,1.93,-10.23,-12.16,-630.05,2022-11-02
LNG,2022-11-03,Sep-22,5.46,7.8,2.34,42.86,2022-11-03
LNN,2022-10-20,Aug-22,1.67,1.62,-0.05,-2.99,2022-10-20
LNT,2022-11-07,Sep-22,1.04,0.93,-0.11,-10.58,2022-11-07
LNTH,2022-11-03,Sep-22,0.83,0.99,0.16,19.28,2022-11-03
LOB,2022-10-26,Sep-22,0.45,0.96,0.51,113.33,2022-10-26
LOPE,2022-10-27,Sep-22,0.87,1.02,0.15,17.24,2022-10-27
LOVE,2022-12-07,Oct-22,-0.73,-0.55,0.18,24.66,2022-12-07
LOW,2022-11-16,Oct-22,3.11,3.27,0.16,5.14,2022-11-16
LPG,2022-11-02,Sep-22,0.32,0.43,0.11,34.38,2022-11-02
LPLA,2022-10-27,Sep-22,2.84,3.13,0.29,10.21,2022-10-27
LPRO,2022-11-03,Sep-22,0.15,0.19,0.04,26.67,2022-11-03
LPSN,2022-11-07,Sep-22,-0.12,-0.11,0.01,8.33,2022-11-07
LPX,2022-11-01,Sep-22,1.62,1.72,0.1,6.17,2022-11-01
LQDA,2022-11-08,Sep-22,-0.18,-0.14,0.04,22.22,2022-11-08
LRCX,2022-10-19,Sep-22,9.54,10.42,0.88,9.22,2022-10-19
LRN,2022-10-25,Sep-22,-0.18,-0.54,-0.36,-200,2022-10-25
LSCC,2022-10-31,Sep-22,0.44,0.48,0.04,9.09,2022-10-31
LSI,2022-11-02,Sep-22,1.66,1.73,0.07,4.22,2022-11-02
LSTR,2022-10-19,Sep-22,2.76,2.76,0,0,2022-10-19
LSXMK,2022-11-04,Sep-22,0.88,0.82,-0.06,-6.82,2022-11-04
LTC,2022-10-27,Sep-22,0.65,0.6,-0.05,-7.69,2022-10-27
LTH,2022-11-09,Sep-22,-0.09,-0.07,0.02,22.22,2022-11-09
LTHM,2022-11-01,Sep-22,0.41,0.41,0,0,2022-11-01
LULU,2022-12-08,Oct-22,1.96,2,0.04,2.04,2022-12-08
LUMN,2022-11-02,Sep-22,0.36,0.14,-0.22,-61.11,2022-11-02
LUNG,2022-11-03,Sep-22,-0.4,-0.38,0.02,5,2022-11-03
LUV,2022-10-27,Sep-22,0.41,0.5,0.09,21.95,2022-10-27
LVS,2022-10-19,Sep-22,-0.2,-0.27,-0.07,-35,2022-10-19
LW,2022-10-05,Aug-22,0.52,0.75,0.23,44.23,2022-10-05
LXFR,2022-10-25,Sep-22,0.32,0.35,0.03,9.38,2022-10-25
LXP,2022-11-03,Sep-22,0.16,0.17,0.01,6.25,2022-11-03
LXU,2022-11-01,Sep-22,0.07,0.03,-0.04,-57.14,2022-11-01
LYB,2022-10-28,Sep-22,2.96,1.96,-1,-33.78,2022-10-28
LYFT,2022-11-07,Sep-22,0.08,0.11,0.03,37.5,2022-11-07
LYV,2022-11-03,Sep-22,1.08,1.39,0.31,28.7,2022-11-03
LZ,2022-11-10,Sep-22,0.05,0.05,0,0,2022-11-10
LZB,2022-11-30,Oct-22,0.86,1.05,0.19,22.09,2022-11-30
M,2022-11-17,Oct-22,0.19,0.52,0.33,173.68,2022-11-17
MA,2022-10-27,Sep-22,2.57,2.68,0.11,4.28,2022-10-27
MAA,2022-10-26,Sep-22,2.09,2.19,0.1,4.78,2022-10-26
MAC,2022-11-03,Sep-22,0.47,0.46,-0.01,-2.13,2022-11-03
